Parent_ID,order_id,date,text,date_new
671.0,41,1837-07-20,"<p>VISIT MY [[Phebe Whittemore Carter Woodruff|WIFE'S]] FOLKS—GO FISHING IN THE SEA.</p>

<p>hold another meeting; but I felt anxious to continue my <br/>
journey, and on the <time datetime=""",07/20/1837
671.0,41,1837-08-01,""">20th of July</time> I parted with my [[Aphek Woodruff, b. 1778|father]], <br/>
[[Azubah Hart Woodruff|step-mother]] and [[Eunice Hart Woodruff Webster|sister]], and took stage for [[Hartford, Hartford County, Connecticut|Hartford]] with my <br/>
wife.</p>

<p>On my arrival at Hartford, not having money to pay the <br/>
fare of both of us, I paid my wife's fare to [[New Rowley, Essex County, Massachusetts|Rowley]], Mass., <br/>
where there was a branch of the Church, presided over by <br/>
Brother [[Nathaniel Holmes|Nathaniel Holmes]], father of [[Jonathan Harriman Holmes|Jonathan]] and [[Milton Holmes|Milton <br/>
Holmes]], and I journeyed on foot.</p>

<p>The first day I walked fifty-two miles, the second day forty-<br/>
eight, and the third day thirty-six miles, and arrived at <br/>
Rowley at two o'clock, making 136 miles in a little over two-<br/>
and-a-half days.</p>

<p>I spent eight days at New Rowley, holding meetings and <br/>
visiting the Saints, including the Holmes family, and left <br/>
there on the <time datetime=""",08/01/1837
671.0,41,1837-08-08,""">1st of August</time>.</p>

<p>On the <time datetime=""",08/08/1837
671.0,41,1837-08-18,""">8th of August</time>, in company with my wife and Elder <br/>
[[Jonathan Harriman Hale|Hale]], I visited my wife's father, [[Ezra Carter, b. 1773|Ezra Carter]], and his family <br/>
in [[Scarborough, Cumberland County, Maine|Scarboro]], Maine, it being the first time I had ever seen any <br/>
of her relatives. We were very kindly received. My wife <br/>
had been absent from her father's home about one year.</p>

<p>I spent eight days with Father Carter and household, and <br/>
one day I went out to sea with [[Joseph Fabyan Carter|Fabian]] and [[Ezra Carter, b. 1804|Ezra Carter]], my <br/>
brothers-in-law, in a boat, to fish with hooks. We caught <br/>
250 cod, haddock and hake, and we saw four whales, two at a <br/>
time, it being the first time in my life I had ever seen the <br/>
kind of a fish which is said to have swallowed [[Jonah (OT)|Jonah]].</p>

<p>On the <time datetime=""",08/18/1837
671.0,41,1837-08-20,""">18th of August, 1837</time>, I parted with my wife and her <br/>
father's household, leaving her with them, and, in company <br/>
with Jonathan H. Hale, started upon the mission that I had <br/>
in view when I left [[Kirtland, Geauga County, Ohio|Kirtland]].</p>

<p>We walked ten miles to [[Portland, Cumberland County, Maine|Portland]], and took passage on the <br/>
steamboat <i>Bangor</i>, which carried us to [[Owls Head, Knox County, Maine|Owl's Head]], where we <br/>
went on board of a sloop which landed us on [[North Fox Island, Waldo County, Maine|North Fox Island]] <br/>
at 2 o'clock, a. m., on the <time datetime=""",08/20/1837
671.0,41,,""">20th</time>.</p>",
671.0,42,,"<p>LEAVES FROM MY JOURNAL</p>

<p>CHAPTER VI.<br/>
DESCRIPTION OF [[Vinalhaven, Waldo County, Maine|VINAL HAVEN]]—POPULATION AND PURSUIT <br/>
OF THE PEOPLE—GREAT VARIETY OF FISH—THE IN-<br/>
TRODUCTION OF THE GOSPEL.</p>

<p>THE town of Vinal Haven includes both [[North Fox Island, Waldo County, Maine|North]] and [[South Fox Island, Waldo County, Maine|South <br/>
Fox Islands]], in lat. 44° north, and long. 69° 10' east. <br/>
The population numbered, at the time of my visit, about <br/>
1,800.  The inhabitants were intelligent and industrious, and <br/>
hospitable to strangers. They got most of their wealth and <br/>
living by fishing. The town fitted out over one hundred <br/>
licensed sailing vessels, besides smaller craft.</p>

<p>North Fox Island is nine miles long by two miles in width <br/>
and had a population of 800. They had a post office, one <br/>
store, a [[Baptist|Baptist]] church and meeting-house, four school-houses<br/>
and a tide grist mill.</p>

<p>The land was rather poor, yet there were some good farms. <br/>
The products where wheat, barley, oats, potatoes and grass. <br/>
The principal timber was fir, spruce, hemlock and birch. <br/>
Raspberries and gooseberries grew in great abundance, and <br/>
some up-land cranberries were raised. The principal stock of <br/>
the island were sheep.</p>

<p>South Fox Island comes as near being without any definite <br/>
form as any spot on earth I ever saw. It would be difficult <br/>
for any person to describe it. It is about ten miles in length <br/>
by five in width, and is one universal mass of rocks, formed <br/>
into shelves, hills, and valleys, and cut up into necks and points <br/>
to make room for the coves and harbors that run through and <br/>
through the island.</p>

<p>The population was 1,000. The inhabitants got their living <br/>
entirely by fishing. There is no chance for farming upon the <br/>
island, and but a few garden patches, which are cultivated at <br/>
great expense. Some few sheep are raised there.</p>

<p>Many of the inhabitants fish in the region of [[Newfoundland|Newfoundland]], <br/>
and bring their fish home and cure them on flakes and prepare</p>",
671.0,43,,"<p>MY ARRIVAL AT [[Vinalhaven, Waldo County, Maine|VINAL HAVEN]].</p>

<p>them for the market. They supply the market with great <br/>
quantities of cod, mackerel and boxed herring.</p>

<p>Upon this [[South Fox Island, Waldo County, Maine|island]] there were two stores, three tide saw mills, <br/>
six school houses and a small branch of the [[Methodist|Methodist]] church, <br/>
presided over by a priest.</p>

<p>What timber there is upon this island, such as pine, fir, <br/>
spruce, hemlock and birch, and the whortleberries, rasp-<br/>
berries and gooseberries, mostly grow out of the <br/>
cracks of the rocks.</p>

<p>Great quantities of fish, and in almost endless variety, <br/>
inhabit the coves and harbors around the islands. The whale, <br/>
blackfish, shark, ground shark, pilot-fish, horse mackerel, <br/>
sturgeon, salmon, halibut, cod, pollock, tom cod, hake, had-<br/>
dock, mackerel, shad bass, alewife, herring, pohagen, <br/>
dolphin, whiting, frost-fish, flounders, smelt, skate, shrimp, <br/>
skid, cusk, blueback, scallop, dogfish, muttonfish, lumpfish, <br/>
squid, five-fingers, monkfish, horsefish, sunfish, swordfish, <br/>
thrasher, cat, scuppog, tootog, eye fish, cunner, ling, also the <br/>
eel, lobster, clam, muscle, periwinkle, porpoise, seal, etc., are <br/>
found there.</p>

<p>Thus I have given a brief description of Vinal Haven. It <br/>
was quite dark when we landed there, without a farthing in <br/>
money. We made our way over the rocks and through the <br/>
cedars the best way we could, until we found a house, when <br/>
we rapped at the door, A woman put her head out of the <br/>
window and asked who was there and what was wanted.</p>

<p>I told her we were two strangers, and wanted a bed to lie <br/>
down upon until morning.</p>

<p>She let us in and gave us a bed, and we slept until quite <br/>
late, it being Sunday morning. When we came out and took <br/>
breakfast it was nearly noon. I asked her what she charged <br/>
for our entertainment, and she replied that we were welcome.</p>

<p>I then asked her if there was any religion or minister or <br/>
church on the island.</p>

<p>She informed me there was a [[Baptist|Baptist]] minister, by the name <br/>
of [[Gideon J. Newton|Newton]], who had a congregation and a meeting-house about <br/>
five miles from there.</p>

<p>We thanked her for her kindness, walked to the meeting-<br/>
house and stepped inside the doorway. We stood there until</p>",
671.0,44,,"<p>LEAVES FROM MY JOURNAL.</p>

<p>a deacon came to the door, when I asked him to go and tell <br/>
the [[Gideon J. Newton|minister]] in the pulpit that there were two servants of <br/>
God at the door, who had a message to deliver to that people <br/>
and wished the privilege of delivering it.</p>

<p>He sent for us to come to the pulpit, so we walked through <br/>
the congregation with our valises under our arms, and took <br/>
a seat by the side of the minister, who was about to speak as <br/>
we came to the door.</p>

<p>He arose and delivered his discourse to the people, occupy-<br/>
ing about half an hour. When he closed he asked me what <br/>
was my wish.</p>

<p>I told him we wished to speak to the people at any hour <br/>
that would suit his or their convenience; so he gave notice <br/>
that there were two strangers present who would speak to the <br/>
people at five o'clock that evening.</p>

<p>We were quite a source of wonderment to the people, as they <br/>
had no idea who we were.</p>

<p>Mr. Newton asked us home to tea with him, and we gladly <br/>
accepted the invitation. When we arrived at his house I <br/>
opened my valise and took out the [[Bible|Bible]], [[Book of Mormon|Book of Mormon]] <br/>
and [[Doctrine and Covenants|Doctrine and Covenants]], laid them upon the table, and <br/>
took my seat.</p>

<p>Mr. Newton took up the books and looked at them, but <br/>
said nothing. I then asked him if there were any school-<br/>
houses upon the island, and if so, whether they were free to <br/>
preach in.</p>

<p>He answered that there were four, numbered respectively <br/>
from one to four, and that they were free.</p>

<p>Mr. Newton and family accompanied us to the meeting-<br/>
house, where we met a large congregation, none of whom <br/>
knew who we were or anything about our profession, except <br/>
the minister.</p>

<p>Elder [[Jonathan Harriman Hale|Hale]] and I went into the stand, and I arose with <br/>
peculiar feelings, and addressed the congregation for one hour,<br/>
taking for my text <i>##Galatians 1:8-9|Galatians i</i>. 89.##</p>

<p>This was the first time that I or any other Elder of the <br/>
[[Church of Jesus Christ of Latter-day Saints|Church of Jesus Christ of Latter-day Saints]] had (to my <br/>
knowledge) attempted to preach the fullness of the gospel and <br/>
the Book of Mormon to the inhabitants of any island of the sea.</p>",
671.0,45,1837-09-03,"<p>BEGIN TO BAPTIZE THE PEOPLE.</p>

<p>I had much liberty in speaking, and informed the people <br/>
that the Lord had raised up a prophet and organized His <br/>
Church as in the days of Christ and the ancient apostles, with <br/>
prophets, apostles and the gifts as anciently, and that He had <br/>
brought forth the [[Book of Mormon|Book of Mormon]].</p>

<p>At the close of my remarks Elder [[Jonathan Harriman Hale|Hale]] bore testimony.</p>

<p>I gave liberty for anyone to speak that might wish to. As <br/>
no one responded, I announced that we would hold meetings <br/>
the next four evenings in the school-houses, beginning at No. 1.</p>

<p>CHAPTER XI.</p>

<p>MR. [[Gideon J. Newton|NEWTON]], THE BAPTIST PREACHER, WRESTLING WITH <br/>
OUR TESTIMONY—REJECTS IT, AND BEGINS TO OPPOSE<br/>
—SENDS TO A METHODIST MINISTER TO HELP HIM—MR.<br/>
[[William Stuart Douglass|DOUGLASS']] SPEECH—OUR GREAT SUCCESS ON THE [[North Fox Island, Waldo County, Maine|NORTH <br/>
ISLAND]]—GO TO THE [[South Fox Island, Waldo County, Maine|SOUTH ISLAND]] AND BAPTIZE MR. <br/>
DOUGLASS' FLOCK—GREAT NUMBER OF ISLANDS—BOILED <br/>
CLAMS—DAY OF PRAYER—CODFISH FLAKES.</p>

<p>DURING the first thirteen days of our sojourn upon the <br/>
island we preached seventeen discourses, being invited by <br/>
the people to tarry with them. I left a copy of the [[Doctrine and Covenants|Doctrine <br/>
and Covenants]] with Mr. Newton for his perusal.</p>

<p>He read it, and the [[Spirit of God|Spirit of God]] bore testimony to him of <br/>
its truth. He pondered over it for days, and he walked his <br/>
room until midnight trying to decide whether to receive or reject it.</p>

<p>He and his family attended about a dozen of my first meet-<br/>
ings, and then he made up his mind, contrary to the dictation <br/>
of the Spirit of God to him, to reject the testimony, and <br/>
come out against me. However, we commenced baptizing his flock.</p>

<p>The first two we baptized were a sea captain, by the name <br/>
of [[Justus Ames|Justin Eames]], and his [[Betsey Hudson Ames|wife]]. Brother [[Jonathan Harriman Hale|Jonathan H. Hale]] <br/>
went down into the sea and baptized them on the <time datetime=""",09/03/1837
