Name,Latitude,Longitude
"['Aarhus', 'Denmark']",56.1572,10.2107
"['Aberdeen', 'Brown County', 'South Dakota']",45.4649,-98.4686
"['Acworth', 'Sullivan County', 'New Hampshire']",34.0566,-84.6716
"['Adams', 'Jefferson County', 'New York']",40.6943,-73.9249
"['Adelaide', 'South Australia', 'Australia']",22.4995,-81.1359
"['Akron', 'Summit County', 'Ohio']",41.0798,-81.5219
"['Alamosa', 'Conejos County', 'Colorado']",-22.8378,-51.9728
"['Alamosa River', 'Colorado']",-22.8378,-51.9728
"['Albany', 'Albany County', 'New York']",40.6943,-73.9249
"['Albany', 'Delaware and Randolph Counties', 'Indiana']",40.622,-79.1552
"['Albion', 'Orleans County', 'New York']",40.6943,-73.9249
"['Albuquerque', 'Bernalillo County', 'New Mexico Territory']",35.1054,-106.6465
"['Alexandria', 'Egypt']",31.1975,29.8925
"['All Souls Church', 'London', 'Middlesex', 'England']",40.5744,-74.5011
"['Allentown', 'Monmouth County', 'New Jersey']",40.5961,-75.4756
"['Alliance', 'Stark County', 'Ohio']",40.9107,-81.1189
"['Alpine', 'Utah County', 'Utah']",40.4629,-111.7724
"['Alton', 'Madison County', 'Illinois']",38.9037,-90.152
"['Altrincham', 'Cheshire', 'England']",41.5113,-72.9036
"['Alvarado', 'Alameda County', 'California']",38.2969,-76.4949
"['American Fork', 'Utah County', 'Utah']",40.3783,-111.7953
"['American Fork', 'Utah County', 'Utah Territory']",40.3783,-111.7953
"['American River', 'California']",38.2969,-76.4949
"['Amity', 'Knox County', 'Ohio']",40.2905,-75.7477
"['Amsterdam', 'Montgomery County', 'New York']",40.6943,-73.9249
"['Amsterdam', 'North Holland', 'Netherlands']",52.3728,4.8936
"['Andover', 'Essex County', 'Massachusetts']",42.6466,-71.1651
"['Ann Arbor', 'Washtenaw County', 'Michigan']",42.2759,-83.731
"['Ann Arbor', 'Washtenaw County', 'Michigan Territory']",42.2759,-83.731
"['Anna', 'Union County', 'Illinois']",33.3472,-96.5508
"['Annapolis', 'Anne Arundel County', 'Maryland']",38.9706,-76.5047
"['Antonito', 'Conejos County', 'Colorado']",-22.8378,-51.9728
"['Antwerp', 'Belgium']",51.2178,4.4003
"['Apia', 'Samoa']",-13.8333,-171.75
"['Arch Street', 'Philadelphia', 'Philadelphia County', 'Pennsylvania']",40.0077,-75.1339
"['Arkansas Valley', 'Colorado']",-22.8378,-51.9728
"['Arlington Hotel', 'Washington', 'D.C.', 'United States']",38.9047,-77.0163
"['Ashtabula', 'Ashtabula County', 'Ohio']",41.8805,-80.7984
"['Aspen', 'Pitkin County', 'Colorado']",-22.8378,-51.9728
"['Assembly Hall', 'Salt Lake City', 'Salt Lake County', 'Utah']",40.7776,-111.9311
"['Atchison', 'Atchison County', 'Kansas Territory']",39.5625,-95.1367
"['Auburn', 'Cumberland County', 'Maine']",44.0851,-70.2492
"['Auburn Hills', 'Oakland County', 'Michigan']",42.6735,-83.2448
"['Auckland', 'New Zealand']",-36.8406,174.74
"['Augusta', 'Richmond County', 'Georgia']",33.3645,-82.0708
"['Aurora', 'Kendall County', 'Illinois']",41.7638,-88.2902
"['Austin', 'Travis County', 'Texas']",30.3005,-97.7522
['Australia'],22.4995,-81.1359
"['Avalon', 'Los Angeles County', 'California']",38.2969,-76.4949
"['Avon', 'Hartford County', 'Connecticut']",41.7907,-72.8538
"['Avon', 'Livingston County', 'New York']",40.6943,-73.9249
['Babylon'],40.6925,-73.3586
"['Baltimore', 'Baltimore County', 'Maryland']",39.3051,-76.6144
"['Banff', 'Northwest Territories', 'Canada']",57.667,-2.524
"['Bangor', 'Penobscot County', 'Maine']",44.8323,-68.7906
"['Batavia', 'Genesee County', 'New York']",40.6943,-73.9249
"['Bath', 'Sagadahoc County', 'Maine']",43.9346,-69.8346
"['Battle Creek', 'Calhoun County', 'Michigan']",42.2985,-85.2296
"['Battle Creek', 'Utah County', 'Utah Territory']",42.2985,-85.2296
"['Beaubears Island', 'Northumberland County', 'New Brunswick', 'British North America']",40.487,-74.445
"['Beaver Dam', 'Mohave County', 'Arizona Territory']",43.4688,-88.8309
"['Beaver Harbour', 'Charlotte County', 'New Brunswick', 'British North America']",40.487,-74.445
"['Bedford', 'Middlesex County', 'Massachusetts']",42.4969,-71.2783
"['Beehive House', 'Salt Lake City', 'Salt Lake County', 'Utah']",40.7776,-111.9311
"['Belfast', 'Antrim County', 'Ireland']",54.5964,-5.93
"['Belfast', 'Waldo County', 'Maine']",54.5964,-5.93
"['Bellefontaine', 'Logan County', 'Ohio']",40.3627,-83.763
"['Belleville', 'Hendricks County', 'Indiana']",40.622,-79.1552
"['Beloit', 'Mitchell County', 'Kansas']",42.523,-89.0184
"['Benicia', 'Solano County', 'California']",38.2969,-76.4949
"['Bennington', 'Bear Lake County', 'Idaho']",42.8854,-73.2133
"['Bennington', 'Bear Lake County', 'Idaho Territory']",42.8854,-73.2133
"['Bennington', 'Bennington County', 'Vermont']",42.8854,-73.2133
"['Bennington', 'Oneida County', 'Idaho Territory']",42.8854,-73.2133
"['Bennington', 'Washington County', 'Utah Territory']",42.8854,-73.2133
"['Bergenfield', 'Bergen County', 'New Jersey']",40.9236,-73.9982
"['Berlin', 'Brandenburg', 'Germany']",52.4167,12.5333
"['Berlin', 'Hartford County', 'Connecticut']",41.6114,-72.7758
"['Bern', 'Bear Lake County', 'Idaho']",46.9481,7.4475
"['Bern', 'Bear Lake County', 'Idaho Territory']",46.9481,7.4475
"['Bern', 'Switzerland']",46.9481,7.4475
"['Beverly', 'Burlington County', 'New Jersey']",42.5681,-70.8627
"['Beverly', 'Essex County', 'Massachusetts']",42.5681,-70.8627
"['Bingen am Rhein', 'Germany']",49.9667,7.9
"['Bingham', 'Salt Lake County', 'Utah Territory']",52.952,-0.953
"['Birkenshaw', 'Yorkshire', 'England']",38.7882,-77.4496
"['Birmingham', 'Jefferson County', 'Alabama']",33.5279,-86.7971
"['Black Butte', 'Siskiyou County', 'California']",38.2969,-76.4949
"['Black Canyon', 'Montrose County', 'Colorado']",-22.8378,-51.9728
"['Black River', 'Wisconsin Territory']",18.0257,-77.8509
"['Black Rock', 'Buffalo County', 'New York']",40.6943,-73.9249
"['Blackburn', 'Lancashire', 'England']",53.748,-2.482
"['Blackfoot', 'Bingham County', 'Idaho']",43.194,-112.3454
"['Blackfoot', 'Bingham County', 'Idaho Territory']",43.194,-112.3454
"['Bloomfield', 'Essex County', 'New Jersey']",40.8098,-74.1869
"['Bloomfield', 'Ontario County', 'New York']",40.6943,-73.9249
"['Bluffdale', 'Salt Lake and Utah Counties', 'Utah']",40.4744,-111.9381
"['Bluffdale', 'Salt Lake and Utah Counties', 'Utah Territory']",40.4744,-111.9381
"['Bolton', 'Lancashire', 'England']",53.578,-2.429
"['Bordentown', 'Burlington County', 'New Jersey']",40.142,-74.7098
"['Bosley', 'Cheshire', 'England']",41.5113,-72.9036
"['Boston', 'Suffolk County', 'Massachusetts']",42.3188,-71.0852
"['Boston Common', 'Boston', 'Suffolk County', 'Massachusetts']",42.3188,-71.0852
