Name,Latitude,Longitude
"['14th Ward School House', 'Great Salt Lake City', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['14th Ward School House', 'Salt Lake City', 'Salt Lake County', 'Utah Territory']",:(,:(
"['Acton', 'York County', 'Maine']",:(,:(
"['Adam-ondi-Ahman', 'Daviess County', 'Missouri']",:(,:(
"['Adamsville', 'Beaver County', 'Utah Territory']",:(,:(
"['Adobe Tabernacle', 'Great Salt Lake City', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['Adobe Tabernacle', 'Salt Lake City', 'Salt Lake County', 'Utah Territory']",:(,:(
"['Adventure', 'Washington County', 'Utah Territory']",:(,:(
"['Aetna', 'Northwest Territories', 'Canada']",:(,:(
['Africa'],:(,:(
"['Afton', 'Uinta County', 'Wyoming']",:(,:(
"['Afton', 'Union County', 'Iowa']",:(,:(
['Alabama'],:(,:(
"['Alamo', 'Kalamazoo County', 'Michigan']",:(,:(
"['Albany', 'Linn County', 'Oregon']",:(,:(
"['Albion', 'Cassia County', 'Idaho']",:(,:(
"['Albion', 'Cassia County', 'Idaho Territory']",:(,:(
"['Alfrick', 'Worcestershire', 'England']",:(,:(
"['Allegheny Mountains', 'United States']",:(,:(
"['Allegheny River', 'United States']",:(,:(
"['Allstedt', 'Saxony-Anhalt', 'Germany']",:(,:(
"['Alma', 'Juab County', 'Utah']",:(,:(
"['Alma', 'Maricopa County', 'Arizona Territory']",:(,:(
"['Almo', 'Cassia County', 'Idaho']",:(,:(
"['Almy', 'Uinta County', 'Wyoming']",:(,:(
"['Almy', 'Uinta County', 'Wyoming Territory']",:(,:(
"['Alpine', 'Apache County', 'Arizona Territory']",:(,:(
"['Alpine', 'Utah County', 'Utah Territory']",:(,:(
"['Alston', 'Cumberland', 'England']",:(,:(
"['Alta', 'Salt Lake County', 'Utah Territory']",:(,:(
['America'],:(,:(
"['American Falls', 'Oneida County', 'Idaho']",:(,:(
"['Amesville', 'Athens County', 'Ohio']",:(,:(
"['Annabella', 'Sevier County', 'Utah Territory']",:(,:(
"['Antelope Island', 'Davis County', 'Utah Territory']",:(,:(
"['Apache County', 'Arizona Territory']",:(,:(
"['Appanoose Township', 'Hancock County', 'Illinois']",:(,:(
"['Apperley', 'Gloucestershire', 'England']",:(,:(
"['Aque Frio', 'Santa Fe County', 'New Mexico Territory']",:(,:(
['Argentina'],:(,:(
"['Arimo', 'Bannock County', 'Idaho']",:(,:(
"['Arispe', 'Sonora', 'Mexico']",:(,:(
['Arizona Territory'],:(,:(
['Arkansas'],:(,:(
"['Arkansas River', 'United States']",:(,:(
['Arkansas Territory'],:(,:(
"['Arnytown', 'Burlington County', 'New Jersey']",:(,:(
"['Asay', 'Garfield County', 'Utah']",:(,:(
"['Ascensión', 'Chihuahua', 'Mexico']",:(,:(
"['Ash Creek', 'Nebraska Territory']",:(,:(
"['Ash Hollow', 'Garden County', 'Nebraska Territory']",:(,:(
"['Ashburnham', 'Worcester County', 'Massachusetts']",:(,:(
"['Ashby', 'Middlesex County', 'Massachusetts']",:(,:(
"['Ashfield', 'Worcestershire', 'England']",:(,:(
"['Ashland', 'Jackson County', 'Oregon']",:(,:(
"['Ashley', 'Uintah County', 'Utah Territory']",:(,:(
"['Ashley Creek', 'Utah Territory']",:(,:(
"['Ashton-under-Lyne', 'Lancashire', 'England']",:(,:(
['Asia'],:(,:(
['Asia Minor'],:(,:(
"['Assembly Hall', 'Manti', 'Sanpete County', 'Utah Territory']",:(,:(
"['Assembly Hall', 'Ogden', 'Weber County', 'Utah Territory']",:(,:(
"['Assembly Hall', 'Salt Lake City', 'Salt Lake County', 'Utah Territory']",:(,:(
['Assyria'],:(,:(
"['Astoria', 'Clatsop County', 'Oregon']",:(,:(
"['Athens', 'Windham County', 'Vermont']",:(,:(
"['Atkinville', 'Washington County', 'Utah Territory']",:(,:(
"['Atkinville Pond', 'Atkinville', 'Washington County', 'Utah Territory']",:(,:(
['Atlantic Ocean'],:(,:(
"['Atlas', 'Pike County', 'Illinois']",:(,:(
"['Atrisco', 'Bernalillo County', 'New Mexico Territory']",:(,:(
"['Auburn', 'Uinta County', 'Wyoming']",:(,:(
"['Audley', 'Staffordshire', 'England']",:(,:(
"['Augusta', 'Des Moines County', 'Iowa Territory']",:(,:(
"['Augusta', 'Hancock County', 'Illinois']",:(,:(
"['Aurora', 'Sevier County', 'Utah']",:(,:(
"['Austin', 'Mower County Minnesota']",:(,:(
['Australasia'],:(,:(
['Austria'],:(,:(
"['Avon', 'Cache County', 'Utah']",:(,:(
