Name,Latitude,Longitude
"['14th Ward School House', 'Great Salt Lake City', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['14th Ward School House', 'Salt Lake City', 'Salt Lake County', 'Utah Territory']",,
"['Aarhus', 'Denmark']",56.1572,10.2107
"['Aberdeen', 'Brown County', 'South Dakota']",45.4649,-98.4686
"['Acton', 'York County', 'Maine']",,
"['Acworth', 'Sullivan County', 'New Hampshire']",34.0566,-84.6716
"['Adam-ondi-Ahman', 'Daviess County', 'Missouri']",:(,:(
"['Adams', 'Jefferson County', 'New York']",40.6943,-73.9249
"['Adamsville', 'Beaver County', 'Utah Territory']",:(,:(
"['Adelaide', 'South Australia', 'Australia']",22.4995,-81.1359
"['Adobe Tabernacle', 'Great Salt Lake City', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['Adobe Tabernacle', 'Salt Lake City', 'Salt Lake County', 'Utah Territory']",,
"['Adventure', 'Washington County', 'Utah Territory']",:(,:(
"['Aetna', 'Northwest Territories', 'Canada']",:(,:(
['Africa'],:(,:(
"['Afton', 'Uinta County', 'Wyoming']",,
"['Afton', 'Union County', 'Iowa']",:(,:(
"['Akron', 'Summit County', 'Ohio']",41.0798,-81.5219
['Alabama'],:(,:(
"['Alamo', 'Kalamazoo County', 'Michigan']",,
"['Alamosa', 'Conejos County', 'Colorado']",-22.8378,-51.9728
"['Alamosa River', 'Colorado']",-22.8378,-51.9728
"['Albany', 'Albany County', 'New York']",40.6943,-73.9249
"['Albany', 'Delaware and Randolph Counties', 'Indiana']",40.622,-79.1552
"['Albany', 'Linn County', 'Oregon']",,
"['Albion', 'Cassia County', 'Idaho']",:(,:(
"['Albion', 'Cassia County', 'Idaho Territory']",:(,:(
"['Albion', 'Orleans County', 'New York']",40.6943,-73.9249
"['Albuquerque', 'Bernalillo County', 'New Mexico Territory']",35.1054,-106.6465
"['Alexandria', 'Egypt']",31.1975,29.8925
"['Alfrick', 'Worcestershire', 'England']",:(,:(
"['All Souls Church', 'London', 'Middlesex', 'England']",40.5744,-74.5011
"['Allegheny Mountains', 'United States']",:(,:(
"['Allegheny River', 'United States']",:(,:(
"['Allentown', 'Monmouth County', 'New Jersey']",40.5961,-75.4756
"['Alliance', 'Stark County', 'Ohio']",40.9107,-81.1189
"['Allstedt', 'Saxony-Anhalt', 'Germany']",:(,:(
"['Alma', 'Juab County', 'Utah']",,
"['Alma', 'Maricopa County', 'Arizona Territory']",,
"['Almo', 'Cassia County', 'Idaho']",:(,:(
"['Almy', 'Uinta County', 'Wyoming']",,
"['Almy', 'Uinta County', 'Wyoming Territory']",:(,:(
"['Alpine', 'Apache County', 'Arizona Territory']",,
"['Alpine', 'Utah County', 'Utah']",40.4629,-111.7724
"['Alpine', 'Utah County', 'Utah Territory']",,
"['Alston', 'Cumberland', 'England']",,
"['Alta', 'Salt Lake County', 'Utah Territory']",,
"['Alton', 'Madison County', 'Illinois']",38.9037,-90.152
"['Altrincham', 'Cheshire', 'England']",41.5113,-72.9036
"['Alvarado', 'Alameda County', 'California']",38.2969,-76.4949
['America'],:(,:(
"['American Falls', 'Oneida County', 'Idaho']",:(,:(
"['American Fork', 'Utah County', 'Utah']",40.3783,-111.7953
"['American Fork', 'Utah County', 'Utah Territory']",40.3783,-111.7953
"['American River', 'California']",38.2969,-76.4949
"['Amesville', 'Athens County', 'Ohio']",:(,:(
"['Amity', 'Knox County', 'Ohio']",40.2905,-75.7477
"['Amsterdam', 'Montgomery County', 'New York']",40.6943,-73.9249
"['Amsterdam', 'North Holland', 'Netherlands']",52.3728,4.8936
"['Andover', 'Essex County', 'Massachusetts']",42.6466,-71.1651
"['Ann Arbor', 'Washtenaw County', 'Michigan']",42.2759,-83.731
"['Ann Arbor', 'Washtenaw County', 'Michigan Territory']",42.2759,-83.731
"['Anna', 'Union County', 'Illinois']",33.3472,-96.5508
"['Annabella', 'Sevier County', 'Utah Territory']",:(,:(
"['Annapolis', 'Anne Arundel County', 'Maryland']",38.9706,-76.5047
"['Antelope Island', 'Davis County', 'Utah Territory']",:(,:(
"['Antonito', 'Conejos County', 'Colorado']",-22.8378,-51.9728
"['Antwerp', 'Belgium']",51.2178,4.4003
"['Apache County', 'Arizona Territory']",:(,:(
"['Apia', 'Samoa']",-13.8333,-171.75
"['Appanoose Township', 'Hancock County', 'Illinois']",:(,:(
"['Apperley', 'Gloucestershire', 'England']",:(,:(
"['Aque Frio', 'Santa Fe County', 'New Mexico Territory']",:(,:(
"['Arch Street', 'Philadelphia', 'Philadelphia County', 'Pennsylvania']",40.0077,-75.1339
