Internal ID,Name,Address,State or Province,County,City,Specific Place,Modern Location,Visited,Mentioned Only,Website URL,Latitude,Longitude
26,"Albany, Albany County, New York",,New York,Albany County,Albany,,,,,https://wilfordwoodruffpapers.org/subjects/albany-albany-county-new-york,40.6943,-73.9249
39,"Allentown, Monmouth County, New Jersey",,New Jersey,Monmouth County,Allentown,,,,,https://wilfordwoodruffpapers.org/subjects/allentown-monmouth-county-new-jersey,37.8897,-122.3018
48,"Alton, Madison County, Illinois",,Illinois,Madison County,Alton,,,,,https://wilfordwoodruffpapers.org/subjects/alton-madison-county-illinois,31.5776,-84.1762
116,"Apperley, Gloucestershire, England",,,Gloucestershire,Apperley,,,,,https://wilfordwoodruffpapers.org/subjects/apperley-gloucestershire-england,44.6272,-123.0965
118,Arkansas,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/arkansas,22.3,114.2
120,Arkansas Territory,,Arkansas Territory,,,,Arkansas,,,https://wilfordwoodruffpapers.org/subjects/arkansas-territory,1.3,103.8
131,Atlantic Ocean,,,,,Atlantic Ocean,,,,https://wilfordwoodruffpapers.org/subjects/atlantic-ocean,22.3167,114.1833
135,Australia,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/australia,43.2775,76.8958
136,"Avon, Hartford County, Connecticut",,Connecticut,Hartford County,Avon,,"Avon, Hartford County, Connecticut",,,https://wilfordwoodruffpapers.org/subjects/avon-hartford-county-connecticut,51.1472,71.4222
140,Babylon,,,,Babylon,,"Al-Hillah, Iraq",,,https://wilfordwoodruffpapers.org/subjects/babylon,42.3167,69.5958
145,"Barnstable County, Massachusetts",,Massachusetts,Barnstable County,,,,,,https://wilfordwoodruffpapers.org/subjects/barnstable-county-massachusetts,27.7172,85.324
146,"Barry County, Missouri",,Missouri,Barry County,,,,,,https://wilfordwoodruffpapers.org/subjects/barry-county-missouri,31.5069,34.456
156,"Bedford, Bedfordshire, England",,,Bedfordshire,Bedford,,,,,https://wilfordwoodruffpapers.org/subjects/bedford-bedfordshire-england,-20.8789,55.4481
181,"Benton County, Tennessee",,Tennessee,Benton County,,,"Benton County, Tennessee",,,https://wilfordwoodruffpapers.org/subjects/benton-county-tennessee,25.0781,-77.3386
190,"Birmingham, Warwickshire, England",,,Warwickshire,Birmingham,,,,,https://wilfordwoodruffpapers.org/subjects/birmingham-warwickshire-england,14.6,-61.0667
191,"Bishops Frome, Herefordshire, England",,,Herefordshire,Bishops Frome,,,,,https://wilfordwoodruffpapers.org/subjects/bishops-frome-herefordshire-england,36.1333,-5.35
203,"Boston, Suffolk County, Massachusetts",,Massachusetts,Suffolk County,Boston,,"Boston, Suffolk County, Massachusetts",,,https://wilfordwoodruffpapers.org/subjects/boston-suffolk-county-massachusetts,12.108,-68.935
233,"Bristol, Gloucestershire, England",,,Gloucestershire,Bristol,,,,,https://wilfordwoodruffpapers.org/subjects/bristol-gloucestershire-england,4.933,-52.33
289,"Buffalo, Erie County, New York",,New York,Erie County,Buffalo,,,,,https://wilfordwoodruffpapers.org/subjects/buffalo-erie-county-new-york,43.7333,7.4167
291,"Burslem, Staffordshire, England",,,Staffordshire,Burslem,,,,,https://wilfordwoodruffpapers.org/subjects/burslem-staffordshire-england,1.3382,173.0176
292,"Bushnell Basin, New York",,New York,,,Bushnell Basin,,,,https://wilfordwoodruffpapers.org/subjects/bushnell-basin-new-york,12.5186,-70.0358
295,"Cache County, Utah",,,,,,"Wellsville, Cache County, Utah",,,https://wilfordwoodruffpapers.org/subjects/cache-county-utah,49.1858,-2.11
300,California,,California,,,,California,,,https://wilfordwoodruffpapers.org/subjects/california,-12.7794,45.2272
301,"Calloway County, Kentucky",,Kentucky,Calloway County,,,"Calloway County, Kentucky",,,https://wilfordwoodruffpapers.org/subjects/calloway-county-kentucky,54.145,-4.482
305,"Cambridge, Middlesex County, Massachusetts",,Massachusetts,Middlesex County,Cambridge,,,,,https://wilfordwoodruffpapers.org/subjects/cambridge-middlesex-county-massachusetts,19.2866,-81.3744
313,Canada,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/canada,18.4167,-64.6167
315,"Canton, Hartford County, Connecticut",,Connecticut,Hartford County,Canton,,,,,https://wilfordwoodruffpapers.org/subjects/canton-hartford-county-connecticut,-14.274,-170.7046
325,"Carroll County, Tennessee",,Tennessee,Carroll County,,,"Carroll County, Tennessee",,,https://wilfordwoodruffpapers.org/subjects/carroll-county-tennessee,21.4664,-71.136
326,"Carthage, Hancock County, Illinois",,Illinois,Hancock County,Carthage,,,,,https://wilfordwoodruffpapers.org/subjects/carthage-hancock-county-illinois,18.0706,-63.0847
362,"Chatham, Columbia County, New York",,New York,Columbia County,Chatham,,,,,https://wilfordwoodruffpapers.org/subjects/chatham-columbia-county-new-york,-21.207,-159.771
364,"Cheltenham, Gloucestershire, England",,,Gloucestershire,Cheltenham,,,,,https://wilfordwoodruffpapers.org/subjects/cheltenham-gloucestershire-england,18.0237,-63.0458
365,"Chepstow, Monmouthshire, Wales",,,Monmouthshire,Chepstow,,,,,https://wilfordwoodruffpapers.org/subjects/chepstow-monmouthshire-wales,15.2137,145.7546
367,"Cheshire, England",,,Cheshire,,,Varies,,,https://wilfordwoodruffpapers.org/subjects/cheshire-england,-51.7,-57.85
368,"Chicago, Cook County, Illinois",,Illinois,Cook County,Chicago,,,,,https://wilfordwoodruffpapers.org/subjects/chicago-cook-county-illinois,41.904,12.453
375,"Clay County, Missouri",,Missouri,Clay County,,,,,,https://wilfordwoodruffpapers.org/subjects/clay-county-missouri,-19.056,-169.921
376,"Cleveland, Cuyahoga County, Ohio",,Ohio,Cuyahoga County,Cleveland,,"Cleveland, Cuyahoga County, Ohio",,,https://wilfordwoodruffpapers.org/subjects/cleveland-cuyahoga-county-ohio,16.0104,-61.7055
378,"Clitheroe, Lancashire, England",,,Lancashire,Clitheroe,,,,,https://wilfordwoodruffpapers.org/subjects/clitheroe-lancashire-england,13.4745,144.7504
384,"Colebrook, Litchfield County, Connecticut",,Connecticut,Litchfield County,Colebrook,,,,,https://wilfordwoodruffpapers.org/subjects/colebrook-litchfield-county-connecticut,17.8958,-62.8508
387,"Colwall, Herefordshire, England",,,Herefordshire,Colwall,,,,,https://wilfordwoodruffpapers.org/subjects/colwall-herefordshire-england,46.7811,-56.1764
388,"Commerce, Hancock County, Illinois",,Illinois,Hancock County,Commerce,,"Nauvoo, Hancock County, Illinois",,,https://wilfordwoodruffpapers.org/subjects/commerce-hancock-county-illinois,18.2167,-63.05
389,"Comstock, Kalamazoo County, Michigan",,Michigan,Kalamazoo County,Comstock,,,,,https://wilfordwoodruffpapers.org/subjects/comstock-kalamazoo-county-michigan,-29.0569,167.9617
393,Connecticut,,Connecticut,,,,Connecticut,,,https://wilfordwoodruffpapers.org/subjects/connecticut,78.2167,15.6333
411,"Damon Creek, Calloway County, Kentucky",,Kentucky,Calloway County,Damon Creek,,"9.8 miles from Mayfield, Calloway County, Kentucky",,,https://wilfordwoodruffpapers.org/subjects/damon-creek-calloway-county-kentucky,-25.0667,-130.0833
428,Danube River,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/danube-river,-10.4167,105.7167
443,"Davis County, Utah",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/davis-county-utah,-54.2833,-36.5
451,"Deerhurst, Gloucestershire, England",,,Gloucestershire,Deerhurst,,,,,https://wilfordwoodruffpapers.org/subjects/deerhurst-gloucestershire-england,22.3802,114.1898
452,"Detroit, Wayne County, Michigan",,Michigan,Wayne County,Detroit,,,,,https://wilfordwoodruffpapers.org/subjects/detroit-wayne-county-michigan,22.2006,113.5461
472,"Dumfries, Dumfries and Galloway, Scotland",,,Dumfries and Galloway,Dumfries,,,,,https://wilfordwoodruffpapers.org/subjects/dumfries-dumfries-and-galloway-scotland,49.8028,73.1056
475,"Dymock, Gloucestershire, England",,,Gloucestershire,Dymock,,,,,https://wilfordwoodruffpapers.org/subjects/dymock-gloucestershire-england,22.3282,114.1916
495,Egypt,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/egypt,22.3307,114.1622
517,"Eldersfield, Worcestershire, England",,,Worcestershire,Eldersfield,,,,,https://wilfordwoodruffpapers.org/subjects/eldersfield-worcestershire-england,50.2836,57.2297
625,England,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/england,27.6833,84.4333
640,Europe,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/europe,42.9,71.3667
642,"Ewyas Harold, Herefordshire, England",,,Herefordshire,Ewyas Harold,,,,,https://wilfordwoodruffpapers.org/subjects/ewyas-harold-herefordshire-england,22.4608,114.0012
650,"Fair Haven, New Haven, New Haven County, Connecticut",,Connecticut,New Haven County,New Haven,Fair Haven,,,,https://wilfordwoodruffpapers.org/subjects/fair-haven-new-haven-new-haven-county-connecticut,52.3,76.95
653,"Far West, Caldwell County, Missouri",,Missouri,Caldwell County,Far West,,,,,https://wilfordwoodruffpapers.org/subjects/far-west-caldwell-county-missouri,50.4333,80.2667
656,"Farmington, Hartford County, Connecticut",,Connecticut,Hartford County,Farmington,,,,,https://wilfordwoodruffpapers.org/subjects/farmington-hartford-county-connecticut,49.9833,82.6167
659,"Fayette County, Tennessee",,Tennessee,Fayette County,,,"Fayette County, Tennessee",,,https://wilfordwoodruffpapers.org/subjects/fayette-county-tennessee,27.6666,85.3333
671,France,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/france,47.1167,51.8833
696,"Fromes Hill, Herefordshire, England",,,Herefordshire,Fromes Hill,,,,,https://wilfordwoodruffpapers.org/subjects/fromes-hill-herefordshire-england,16.2411,-61.5331
702,"Gadfield Elm, Worcestershire, England",,,Worcestershire,Gadfield Elm,,,,,https://wilfordwoodruffpapers.org/subjects/gadfield-elm-worcestershire-england,22.2867,114.155
705,"Galena, Jo Daviess County, Illinois",,Illinois,Jo Daviess County,Galena,,,,,https://wilfordwoodruffpapers.org/subjects/galena-jo-daviess-county-illinois,22.3456,114.1
708,"Garway, Herefordshire, England",,,Herefordshire,Garway,,,,,https://wilfordwoodruffpapers.org/subjects/garway-herefordshire-england,44.85,65.5167
711,"Genesee County, New York",,New York,Genesee County,,,,,,https://wilfordwoodruffpapers.org/subjects/genesee-county-new-york,51.2225,51.3725
743,"Germantown, Wayne County, Indiana",,Indiana,Wayne County,Germantown,,,,,https://wilfordwoodruffpapers.org/subjects/germantown-wayne-county-indiana,53.2,63.62
744,Germany,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/germany,54.8833,69.1667
745,"Gibson County, Tennessee",,Tennessee,Gibson County,,,"Gibson County, Tennessee",,,https://wilfordwoodruffpapers.org/subjects/gibson-county-tennessee,31.5333,35.095
751,"Gloucester, Gloucestershire, England",,,Gloucestershire,Gloucester,,,,,https://wilfordwoodruffpapers.org/subjects/gloucester-gloucestershire-england,50.72,-1.88
752,"Gloucestershire, England",,,Gloucestershire,,,,,,https://wilfordwoodruffpapers.org/subjects/gloucestershire-england,22.3094,114.2361
755,"Graves County, Kentucky",,Kentucky,Graves County,,,"Graves County, Kentucky",,,https://wilfordwoodruffpapers.org/subjects/graves-county-kentucky,50.05,72.95
756,"Green Mountains, Vermont",,Vermont,,,Green Mountains,,,,https://wilfordwoodruffpapers.org/subjects/green-mountains-vermont,43.6525,51.1575
758,"Greene County, Missouri",,Missouri,Greene County,,,,,,https://wilfordwoodruffpapers.org/subjects/greene-county-missouri,20.372,72.917
769,"Hancock County, Illinois",,Illinois,Hancock County,,,,,,https://wilfordwoodruffpapers.org/subjects/hancock-county-illinois,53.2833,69.3833
799,"Hannibal, Marion County, Missouri",,Missouri,Marion County,Hannibal,,,,,https://wilfordwoodruffpapers.org/subjects/hannibal-marion-county-missouri,43.3019,68.2692
801,"Hardeman County, Tennessee",,Tennessee,Hardeman County,,,"Hardeman County, Tennessee",,,https://wilfordwoodruffpapers.org/subjects/hardeman-county-tennessee,51.6667,75.3667
812,"Hartford, Hartford County, Connecticut",,Connecticut,Hartford County,Hartford,,,,,https://wilfordwoodruffpapers.org/subjects/hartford-hartford-county-connecticut,31.2886,34.2519
823,"Henderson County, Tennessee",,Tennessee,Henderson County,,,"Henderson County, Tennessee",,,https://wilfordwoodruffpapers.org/subjects/henderson-county-tennessee,32.2222,35.2611
832,"Henry County, Tennessee",,Tennessee,Henry County,,,"Henry County, Tennessee",,,https://wilfordwoodruffpapers.org/subjects/henry-county-tennessee,28.0333,82.4833
849,"Hereford, Herefordshire, England",,,Herefordshire,Hereford,,,,,https://wilfordwoodruffpapers.org/subjects/hereford-herefordshire-england,43.3378,52.8553
850,"Herefordshire Beacon, Herefordshire, England",,,Herefordshire,Herefordshire Beacon,,,,,https://wilfordwoodruffpapers.org/subjects/herefordshire-beacon-herefordshire-england,43.6905,51.1417
851,"Herefordshire, England",,,Herefordshire,,,,,,https://wilfordwoodruffpapers.org/subjects/herefordshire-england,50.7167,-1.9833
854,"Hill Castle, Herefordshire, England",,,Herefordshire,Hill Castle,,,,,https://wilfordwoodruffpapers.org/subjects/hill-castle-herefordshire-england,31.3444,34.3031
867,"Humphreys County, Tennessee",,Tennessee,Humphreys County,,,"Humphreys County, Tennessee",,,https://wilfordwoodruffpapers.org/subjects/humphreys-county-tennessee,27.0,84.8667
870,Idaho Territory,,Idaho,,,,Idaho,,,https://wilfordwoodruffpapers.org/subjects/idaho-territory,45.0167,78.3667
875,India,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/india,52.9667,63.1333
876,Indiana,,Indiana,,,,Indiana,,,https://wilfordwoodruffpapers.org/subjects/indiana,22.2877,114.1365
878,Iowa,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/iowa,13.4692,144.7332
879,Iowa Territory,,Iowa,,,,Iowa,,,https://wilfordwoodruffpapers.org/subjects/iowa-territory,26.8167,87.2833
880,"Ipswich, Suffolk, England",,,Suffolk,Ipswich,,,,,https://wilfordwoodruffpapers.org/subjects/ipswich-suffolk-england,14.5417,121.0667
882,Ireland,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/ireland,22.3674,114.1273
904,Israel,,,,,,,,,https://wilfordwoodruffpapers.org/subjects/israel,28.7136,80.5692
911,"Jackson County, Missouri",,Missouri,Jackson County,,,,,,https://wilfordwoodruffpapers.org/subjects/jackson-county-missouri,31.5281,34.4831
991,"Jefferson County, New York",,New York,Jefferson County,,,,,,https://wilfordwoodruffpapers.org/subjects/jefferson-county-new-york,47.7833,67.7
1000,Jerusalem,,,,Jerusalem,,,,,https://wilfordwoodruffpapers.org/subjects/jerusalem,22.28,114.125
1209,"Juab County, Utah",,Utah,,,,,,,https://wilfordwoodruffpapers.org/subjects/juab-county-utah,42.8833,20.8667
1211,Judea,,,,Judea,,a mountainous region in the southern part of the modern States of Palestine and Israel,,,https://wilfordwoodruffpapers.org/subjects/judea,22.2871,114.1357
1217,"Kane County, Utah",,Utah,,,,,,,https://wilfordwoodruffpapers.org/subjects/kane-county-utah,27.6667,85.2833
1218,Kentucky,,Kentucky,,,,Kentucky,,,https://wilfordwoodruffpapers.org/subjects/kentucky,22.3408,114.1871
1219,"Keokuk, Lee County, Iowa",,Iowa,,,,,,,https://wilfordwoodruffpapers.org/subjects/keokuk-lee-county-iowa,31.5539,34.5014
1224,"Kilcot, Gloucestershire, England",,,Gloucestershire,Kilcot,,,,,https://wilfordwoodruffpapers.org/subjects/kilcot-gloucestershire-england,22.335,114.2067
1233,"Kirtland, Geauga County, Ohio",,Ohio,Geauga County,Kirtland,,"Kirtland, Lake County, Ohio",,,https://wilfordwoodruffpapers.org/subjects/kirtland-geauga-county-ohio,24.87,92.35
1237,"La Harpe, Hancock County, Illinois",,Illinois,Hancock County,La Harpe,,,,,https://wilfordwoodruffpapers.org/subjects/la-harpe-hancock-county-illinois,31.4189,34.3517
1254,"Ledbury, Herefordshire, England",,,Herefordshire,Ledbury,,,,,https://wilfordwoodruffpapers.org/subjects/ledbury-herefordshire-england,32.1903,34.9686
1255,"Lee County, Iowa Territory",,Iowa Territory,Lee County,,,,,,https://wilfordwoodruffpapers.org/subjects/lee-county-iowa-territory,22.4423,114.167
