Parent_ID,order_id,date,text,date_new
1091,1,NA,"Appointments for 
Preaching
by W Woodruff


",NA
1091,1,"July 26, 1835 "," Sunday


x Sunday July 26th 1835 At [[Johnathan Lowery|Johnathan
Lowery's]] On [[Big Sandy River, Henry County, Tennessee|Sandy]] [[Humphreys County, Tennessee|Humphreys County]]
x Tenn at 12-oclock / Isah 8:20


",07/26/1835
1091,1,"July 28, 1835 "," Tuesday


Tuesday 28th at Brother's [[John Jackson|Jacksons]] on
x [[Cypress Creek, Humphreys County, Tennessee|Cyprus]] Creek / Zenos parable of Vineyard


",07/28/1835
1091,1,"July 30, 1835 "," Thursday


x Thursday 30 at [[Lewis Barker|L Barkers]] / 2 Timothy 2:15


",07/30/1835
1091,1,"August 2, 1835 "," Sunday


x Sunday 2nd August at [[Eagle Creek, Humphreys County, Tennessee|Egle Creek]] Meeting house
At mister [[Polly Barnett Jennings|Barnes]] at 4 o clock / {[shorthand?]}


",08/02/1835
1091,1,"August 4, 1835 "," Tuesday


x Tuesday 4th at Bros [[Seth Utley|Utley's]] / {[shorthand?]}


",08/04/1835
1091,1,"August 6, 1835 "," Thursday


x Thursday 6th at Col [[Colonel Rutherford|Rutherfords]] at [[Reynoldsburg, Humphreys County, Tennessee|Reynoldsburgh]]
east of [[Tennessee River, United States|Tennessee River]] / II Cor 4th 3; 4th


",08/06/1835
1091,1,"August 7, 1835 "," Friday


x Friday 7th at [[Elijah Foster|E Fosters]] 4 oclock AM / 2 {[shorthand?]}


",08/07/1835
1091,1,"August 9, 1835 "," Sunday


x Sunday 9th at the [[Sulphur Wells Academy, Henry County, Tennessee|Academy]] by Col [[Solomon Copeland|Copelands]]
2 Cor 9 = 3 = 4 = {[shorthand?]}


",08/09/1835
1091,1,"August 11, 1835 "," Tuesday


x Tuesday 11th at Br [[Levi Taylor|Taylors]] ^[het]^ 12 oclock / [he]


",08/11/1835
1091,1,"August 13, 1835 "," Thursday


x Thursday 13th at Mr [[Mr. Butterworth|Butterworths]] /


",08/13/1835
1091,1,"August 14, 1835 "," Friday


Friday 14th at Mr [[Thomas E. McCaman|MCCaman's]] 12 oclok /


",08/14/1835
1091,1,"August 16, 1835 "," Sunday


Sunday ^16th^ at Br  [[Benjamin Lynn Clapp|Claps]] ◊◊Y 12 oclk AM / [sideways text] 13 + 8 + 11 = 32 [end of sideways text]


",08/16/1835
1091,1,"August 23, 1835 "," Sunday


Sunday 23 at Col [[Solomon Copeland|Copelands]] /


",08/23/1835
1091,1,"August 26, 1835 "," Wednesday


Wendsday 26 at Br [[John Jackson|J Jacksons]] /

",08/26/1835
1091,2,NA,,NA
1091,2,"August 28, 1835 "," Friday


Friday 28th at [[Lewis Barker|L Barkers]] /


",08/28/1835
1091,2,"August 29, 1835 "," Saturday


Saturday 29th at [[Eagle Creek, Benton County, Tennessee|Egle Creek]] /


",08/29/1835
1091,2,"September 1, 1835 "," Tuesday


Sept 1st Tuesday at Br [[Samuel Walker West|West's]] /


",09/01/1835
1091,2,"September 2, 1835 "," Wednesday


^Wendsday 2 at Br [[Albert Petty|Potters]] /^


",09/02/1835
1091,2,"September 3, 1835 "," Thursday


Thursday 3rd at [[Elijah Foster|E Fosters]] /


",09/03/1835
1091,2,"September 6, 1835 "," Sunday


Sunday 6th at Col [[Solomon Copeland|Copelands]] /


",09/06/1835
1091,2,"September 8, 1835 "," Tuesday


Tuesday 8th at [[Blood River, Henry County, Tennessee|Bloody]] /


",09/08/1835
1091,2,"September 10, 1835 "," Thursday


Thursday 10 at Mr [[Mr. Butterworth|Butterworth]] /


",09/10/1835
1091,2,"September 11, 1835 "," Friday


Friday 11th at Mr [[Thomas E. McCaman|MCCaman]]


",09/11/1835
1091,2,"September 13, 1835 "," Sunday


Sunday 13th at Mr [[John Clapp|Claps]] R.Y. /


[ink change] Dec 11th [[Johnson F. Lane|Johnston F Lane]] Dp to cash $1.25 - Cr to cash .50 = due 0.75


Cr to [[Benjamin Lynn Clapp|Benjamin Clapp]] for papers 50 cts


[FIGURES]

",09/13/1835
1091,3,NA,,NA
1091,3,"January 1, 1836 "," Friday


1 Jan 1st 1836 Friday spent at Brother [[Levi Taylor|Taylors]]


",01/01/1836
1091,3,"January 2, 1836 "," Saturday


2 Wrote a Letter to Elder [[Warren Farr Parrish|W Parrish]]
containing 200 lines in answer to one from
him that was Dated Nov 29th 1835 and
I received it on the 1st of Jan 1836


",01/02/1836
1091,3,"January 3, 1836 "," Sunday


3 Sunday Preached at Mr [[Joseph Chumbley|Chumleys]] [Chumbley] returned to
Brother [[Levi Taylor|Taylors]] to study Grammer
spent the week in studying, at Br Taylors


",01/03/1836
1091,3,"January 10, 1836 "," Sunday


10 Sunday visited the Saints at Mr [[Joseph Chumbley|Chumleys]]
&amp; returned to Br [[Levi Taylor|Taylors]].
Spent the week studying at Br Taylors


",01/10/1836
1091,3,"January 16, 1836 "," Saturday


16 Saturday Rode to Col [[Solomon Copeland|Copeland]] 10 miles


",01/16/1836
1091,3,"January 17, 1836 "," Sunday


17 Preached at the [[Sulphur Wells Academy, Henry County, Tennessee|Academy]] after [[Parson Pott|Parson Potts]]
on Sunday returned to Col [[Solomon Copeland|Copeland]] 4 miles


",01/17/1836
1091,3,"January 18, 1836 "," Monday


18th Rode to Mr [[William Ross|Rues]] [Ross] Preached at his house
at 12 o'clock then rode to [[George Washington Brandon|George W Brandon]]
Preached at his house at night procured
1 subscrber for M[essenger &amp;] Ad[vocate] distance 16 miles


",01/18/1836
1091,3,"January 19, 1836 "," Tuesday


19 Rode to &amp; crossed the Mouth of [[Big Sandy River, Henry County, Tennessee|Sandy]] at
Authurs ferry from thence to Br [[Levi Taylor|Taylors]] 24/mile


",01/19/1836
1091,3,"January 20, 1836 "," Wednesday


20 Rode to Mr [[Joseph Chumbley|Chumblys]] 1 mile


",01/20/1836
1091,3,"January 21, 1836 "," Thursday


21 Rode to [[James Hendricks|James Hendricks]] from thence to Br
[[Benjamin Lynn Clapp|Clapps]] [[Terrapin, Calloway County, Kentucky|Taropen]] distance 30 miles


",01/21/1836
1091,3,"January 22, 1836 "," Friday


22 Rode to Father [[Joseph Greenwood|Greenwoods]] Prea^c^hed at
his house the[n] rode to Br [[John Camp|Camps]] 7 miles


",01/22/1836
1091,3,"January 23, 1836 "," Saturday


23 Preached at Br [[Benjamin Lynn Clapp|Clapps]] &amp; blessed 10
children in the name of Jessus Christ
then rode to [[Clarks River, Calloway County, Kentucky|Clarks River]] distance 12 m
&amp; collected $7.00 for the [[Kirtland Temple, Kirtland, Geauga County, Ohio|house]] of God at [[Kirtland, Geauga County, Ohio|Kirtland]]


24

",01/23/1836
1091,4,NA,,NA
1091,4,"January 24, 1836 "," Sunday


Jan 24 [sideways text in margin] preached at night [end of sideways text]
Preached at Br [[Daniel Stillwell Thomas|Thomase's]] Sunday &amp; blessed
6 Children after i closed meeting
a Baptist Prist [[William Willson|William Willson]] arose &amp;
and invited us to attend a meeting of theirs
&amp; cleer ourselfs of things they had
accused us of. I answered him before
the people &amp; remarked that I was
surprised that they should take the
liberties of the Country into their own
own hands to try American
citisons by [blank]


",01/24/1836
1091,4,"January 25, 1836 "," Monday


25 Rode to [[James Martin|James Martins]] preach
at his house allso at night 12 miles


",01/25/1836
1091,4,"January 26, 1836 "," Tuesday


26 Returned to Brother [[Daniel Stillwell Thomas|Thomases]]
preached at his his house. 12 mil


",01/26/1836
1091,4,"January 27, 1836 "," Wednesday


27 Rode to [[Stephen Brady|Stephen Braidy's]] [Brady] 24 m


",01/27/1836
1091,4,"January 28, 1836 "," Thursday


28 Preached at [[Stephen Brady|Stephen Braidy's]] then
Rode to Mr [[John Freeman|Freeman's]] distance 14


",01/28/1836
1091,4,"January 29, 1836 "," Friday


29 Preached at [[John Rowlett|John Rowlett's]] blessed
2 3 children then rode to Br [[Levi Taylor|Taylor's]] 5 m


",01/29/1836
1091,4,"January 30, 1836 "," Saturday


30 Rode to Mr [[Joseph Chumbley|Chumbley's]] &amp; to Br
[[Samuel Smith|Smith's]] Preached at his house returned
to Chumbleys distance 3 miles


",01/30/1836
1091,4,"January 31, 1836 "," Sunday


31 Sunday Preached at Br [[Levi Taylor|Taylors]]


",01/31/1836
1091,4,"February 1, 1836 "," Monday


Feb 1st Rode to Br [[Brother Davis, Tennessee|Davis'es]] 10 mile collected
$500 dollars for building the [[Kirtland Temple, Kirtland, Geauga County, Ohio|house]]
of the Lord at [[Kirtland, Geauga County, Ohio|Kirtland]]


",02/01/1836
1091,4,"February 2, 1836 "," Tuesday


2 rode to Mr [[David Cranshaw|Cranshaws]] 14 miles 
[[Paris, Henry County, Tennessee|Paris]] 10 miles A Letter from [[John Whitmer|Whitmer]]

",02/02/1836
1091,5,NA,,NA
1091,5,"February 3, 1836 "," Wednesday


Feb 3rd Rode to [[David Cranshaw|D Cranshaws]] 14 miles


",02/03/1836
1091,5,"February 4, 1836 "," Thursday


4 Rode to [[John Jackson|J Jacksons]] preached at his
house distance 14 miles


",02/04/1836
1091,5,"February 5, 1836 "," Friday


5 Rode to [[Lewis Barker|L Barkers]] Preached at
his hous from thence to Mr [[Anthony M. Tittle|Tittles]]
Preached at his house distance 10.


",02/05/1836
